id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
WESD-AUDA-020_4251,"Auriculares Alambricos, Azul","Auriculares Alambricos, Azul",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-020.png,https://kluumstore.com.mx/producto/auriculares-alambricos-azul/,"Auriculares","Kluum Store",119MXN,in stock,WESD-AUDA-020_4251,https://kluumstore.com.mx/carrito/?add-to-cart=4251,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-020.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119MXN,new,published,,
WESD-AUDA-019_4249,"Auriculares Alambricos, Dorado","Auriculares Alambricos, Dorado",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-019.png,https://kluumstore.com.mx/producto/auriculares-alambricos-dorado-2/,"Auriculares","Kluum Store",119MXN,in stock,WESD-AUDA-019_4249,https://kluumstore.com.mx/carrito/?add-to-cart=4249,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-019.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119MXN,new,published,,
WESD-AUDA-018_4247,"Auriculares Alambricos, Dorado Rosado","Auriculares Alambricos, Dorado Rosado",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-018.png,https://kluumstore.com.mx/producto/auriculares-alambricos-dorado-rosado-3/,"Auriculares","Kluum Store",119MXN,in stock,WESD-AUDA-018_4247,https://kluumstore.com.mx/carrito/?add-to-cart=4247,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-018.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119MXN,new,published,,
WESD-AUDA-017_4245,"Auriculares Alambricos, Plata","Auriculares Alambricos, Plata",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-017.png,https://kluumstore.com.mx/producto/auriculares-alambricos-plata-2/,"Auriculares","Kluum Store",119MXN,in stock,WESD-AUDA-017_4245,https://kluumstore.com.mx/carrito/?add-to-cart=4245,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-017.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119MXN,new,published,,
WESD-AUDA-016_4243,"Auriculares Alambricos, Negro","Auriculares Alambricos, Negro",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-016.png,https://kluumstore.com.mx/producto/auriculares-alambricos-negro-6/,"Auriculares","Kluum Store",119MXN,in stock,WESD-AUDA-016_4243,https://kluumstore.com.mx/carrito/?add-to-cart=4243,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-016.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119MXN,new,published,,
WESD-AUDA-015_4241,"Auriculares Alambricos, Dorado Rosado","Auriculares Alambricos, Dorado Rosado",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-015.png,https://kluumstore.com.mx/producto/auriculares-alambricos-dorado-rosado-2/,"Auriculares","Kluum Store",169MXN,in stock,WESD-AUDA-015_4241,https://kluumstore.com.mx/carrito/?add-to-cart=4241,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-015.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,169MXN,new,published,,
WESD-AUDA-014_4239,"Auriculares Alambricos, Dorado","Auriculares Alambricos, Dorado",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-014.png,https://kluumstore.com.mx/producto/auriculares-alambricos-dorado/,"Auriculares","Kluum Store",169MXN,in stock,WESD-AUDA-014_4239,https://kluumstore.com.mx/carrito/?add-to-cart=4239,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-014.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,169MXN,new,published,,
WESD-AUDA-013_4237,"Auriculares Alambricos, Negro","Auriculares Alambricos, Negro",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-013.png,https://kluumstore.com.mx/producto/auriculares-alambricos-negro-5/,"Auriculares","Kluum Store",169MXN,in stock,WESD-AUDA-013_4237,https://kluumstore.com.mx/carrito/?add-to-cart=4237,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-013.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,169MXN,new,published,,
WESD-AUDA-012_4235,"Auriculares Alambricos, Rojo Y Blanco","Auriculares Alambricos, Rojo Y Blanco",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-012.png,https://kluumstore.com.mx/producto/auriculares-alambricos-rojo-y-blanco/,"Auriculares","Kluum Store",149MXN,in stock,WESD-AUDA-012_4235,https://kluumstore.com.mx/carrito/?add-to-cart=4235,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-012.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149MXN,new,published,,
WESD-AUDA-011_4233,"Auriculares Alambricos, Blanco","Auriculares Alambricos, Blanco",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-011.png,https://kluumstore.com.mx/producto/auriculares-alambricos-blanco/,"Auriculares","Kluum Store",149MXN,in stock,WESD-AUDA-011_4233,https://kluumstore.com.mx/carrito/?add-to-cart=4233,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-011.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149MXN,new,published,,
WESD-AUDA-010_4231,"Auriculares Alambricos, Negro","Auriculares Alambricos, Negro",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-010.png,https://kluumstore.com.mx/producto/auriculares-alambricos-negro-4/,"Auriculares","Kluum Store",149MXN,in stock,WESD-AUDA-010_4231,https://kluumstore.com.mx/carrito/?add-to-cart=4231,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-010.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149MXN,new,published,,
WESD-AUDA-009_4229,"Auriculares Alambricos, Rojo","Auriculares Alambricos, Rojo",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-009.png,https://kluumstore.com.mx/producto/auriculares-alambricos-rojo-3/,"Auriculares","Kluum Store",149MXN,in stock,WESD-AUDA-009_4229,https://kluumstore.com.mx/carrito/?add-to-cart=4229,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-009.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149MXN,new,published,,
WESD-AUDA-008_4227,"Auriculares Alambricos, Gris","Auriculares Alambricos, Gris",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-008.png,https://kluumstore.com.mx/producto/auriculares-alambricos-gris/,"Auriculares","Kluum Store",149MXN,in stock,WESD-AUDA-008_4227,https://kluumstore.com.mx/carrito/?add-to-cart=4227,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-008.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149MXN,new,published,,
WESD-AUDA-007_4225,"Auriculares Alambricos, Negro","Auriculares Alambricos, Negro",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-007.png,https://kluumstore.com.mx/producto/auriculares-alambricos-negro-3/,"Auriculares","Kluum Store",149MXN,in stock,WESD-AUDA-007_4225,https://kluumstore.com.mx/carrito/?add-to-cart=4225,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-007.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149MXN,new,published,,
WESD-AUDA-006_4223,"Auriculares Alambricos, Rojo","Auriculares Alambricos, Rojo",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-006.png,https://kluumstore.com.mx/producto/auriculares-alambricos-rojo-2/,"Auriculares","Kluum Store",109MXN,in stock,WESD-AUDA-006_4223,https://kluumstore.com.mx/carrito/?add-to-cart=4223,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-006.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,109MXN,new,published,,
WESD-AUDA-005_4221,"Auriculares Alambricos, Plata","Auriculares Alambricos, Plata",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-005.png,https://kluumstore.com.mx/producto/auriculares-alambricos-plata/,"Auriculares","Kluum Store",109MXN,in stock,WESD-AUDA-005_4221,https://kluumstore.com.mx/carrito/?add-to-cart=4221,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-005.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,109MXN,new,published,,
WESD-AUDA-004_4219,"Auriculares Alambricos, Negro","Auriculares Alambricos, Negro",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-004.png,https://kluumstore.com.mx/producto/auriculares-alambricos-negro-2/,"Auriculares","Kluum Store",109MXN,in stock,WESD-AUDA-004_4219,https://kluumstore.com.mx/carrito/?add-to-cart=4219,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-004.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,109MXN,new,published,,
WESD-AUDA-003_4217,"Auriculares Alambricos, Dorado Rosado","Auriculares Alambricos, Dorado Rosado",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-003.png,https://kluumstore.com.mx/producto/auriculares-alambricos-dorado-rosado/,"Auriculares","Kluum Store",59MXN,in stock,WESD-AUDA-003_4217,https://kluumstore.com.mx/carrito/?add-to-cart=4217,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-003.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,59MXN,new,published,,
WESD-AUDA-002_4215,"Auriculares Alambricos, Rojo","Auriculares Alambricos, Rojo",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-002.png,https://kluumstore.com.mx/producto/auriculares-alambricos-rojo/,"Auriculares","Kluum Store",59MXN,in stock,WESD-AUDA-002_4215,https://kluumstore.com.mx/carrito/?add-to-cart=4215,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-002.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,59MXN,new,published,,
WESD-AUDA-001_4213,"Auriculares Alambricos, Negro","Auriculares Alambricos, Negro",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-001.png,https://kluumstore.com.mx/producto/auriculares-alambricos-negro/,"Auriculares","Kluum Store",59MXN,in stock,WESD-AUDA-001_4213,https://kluumstore.com.mx/carrito/?add-to-cart=4213,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-001.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,59MXN,new,published,,
HAVI-AUDA-014_4211,"Auricular De Diadema Alambrico, Azul","Auricular De Diadema Alambrico, Azul",https://kluumstore.com.mx/wp-content/uploads/2019/11/HAVI-AUDA-014.png,https://kluumstore.com.mx/producto/auricular-de-diadema-alambrico-azul/,"Auriculares","Kluum Store",199MXN,in stock,HAVI-AUDA-014_4211,https://kluumstore.com.mx/carrito/?add-to-cart=4211,"https://kluumstore.com.mx/wp-content/uploads/2019/11/HAVI-AUDA-014.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199MXN,new,published,,
HAVI-AUDA-013_4209,"Auricular De Diadema Alambrico, Rojo","Auricular De Diadema Alambrico, Rojo",https://kluumstore.com.mx/wp-content/uploads/2019/11/HAVI-AUDA-013.png,https://kluumstore.com.mx/producto/auricular-de-diadema-alambrico-rojo-2/,"Auriculares","Kluum Store",199MXN,in stock,HAVI-AUDA-013_4209,https://kluumstore.com.mx/carrito/?add-to-cart=4209,"https://kluumstore.com.mx/wp-content/uploads/2019/11/HAVI-AUDA-013.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199MXN,new,published,,
